text,label
I love this product,positive
This service is amazing,positive
Very happy with the experience,positive
Customer support was excellent,positive
I am satisfied with the results,positive
This made my day better,positive
Absolutely fantastic work,positive
I enjoyed using this application,positive
Highly recommended,positive
Great quality and fast service,positive

This is the worst product ever,negative
I hate this service,negative
Very disappointed with the experience,negative
Customer support was terrible,negative
This wasted my money,negative
I am extremely unhappy,negative
Worst decision I made,negative
The product stopped working,negative
Not worth the price,negative
Totally unacceptable,negative

It is okay,neutral
The experience was average,neutral
Nothing special about this,neutral
It works as expected,neutral
Neither good nor bad,neutral
The service was fine,neutral
I feel neutral about this,neutral
Average performance,neutral
No strong opinion,neutral
It does the job,neutral
